"id","name","category","price","description","unit_shipping_cost"
698,"Steak Tartare","Beauty & Personal",19779,"She spent her earliest years reading classic literature, and writing poetry.",6.4938297
699,"Tuna Pizza","Sports & Outdoor",2751,"Ports are created with the built-in function open_port.",8.698225
700,"Turkish Delight","Music Instruments",14464,"She spent her earliest years reading classic literature, and writing poetry.",8.713048
701,"Apple sauce","Beauty & Personal",15384,"Ports are used to communicate with the external world.",7.907889
702,"Cheese balls","Sports & Outdoor",17946,"Atoms are used within a program to denote distinguished values.",2.0074706
703,"Poppyseed muffin","Health & Hygine",7339,"Ports are created with the built-in function open_port.",8.533548
704,"Chicken Alfredo","Fashion",12561,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",2.2047122
705,"Goulash","Music Instruments",16250,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.4846144
706,"Bull roast","Video Games",14861,"In 1989 the building was heavily damaged by fire, but it has since been restored.",7.36466
707,"Fried Catfish","Music Instruments",2508,"Atoms are used within a program to denote distinguished values.",3.9767554
708,"Chicken Tikka Masala","Video Games",18702,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.9289117
709,"Liver and onions","Sports & Outdoor",19210,"Make me a sandwich.",8.860814
710,"Cheese dog","Fashion",1550,"Where are my pants?",7.0038376
711,"Prawn Pizza","Home & Garden",10426,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",7.2374043
712,"Chowder","Video Games",3888,"Do you have any idea why this is not working?",9.845611
713,"Celery Victor","Home & Garden",7859,"Ports are used to communicate with the external world.",9.474991
714,"Schnitzel","Video Games",852,"Type classes first appeared in the Haskell programming language.",2.3469887
715,"Charleston red rice","Music Instruments",15940,"In 1989 the building was heavily damaged by fire, but it has since been restored.",9.836638
716,"Chocolate Chip Cookie","Books",15684,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.280183
717,"Spaghetti Bolognese","Office Supply",8299,"Do you have any idea why this is not working?",4.929702
718,"Fish Tacos","Video Games",9945,"Its main implementation is the Glasgow Haskell Compiler.",7.5098114
719,"Cheese fries","Home & Garden",10810,"Where are my pants?",7.768536
720,"Cobb Salad","Home & Garden",4304,"She spent her earliest years reading classic literature, and writing poetry.",2.7917984
721,"Steamed clams","Beauty & Personal",17160,"Haskell features a type system with type inference and lazy evaluation.",8.688134
722,"Tamales","Health & Hygine",13387,"In 1989 the building was heavily damaged by fire, but it has since been restored.",6.065265
723,"Waffle","Fashion",10772,"Erlang is a general-purpose, concurrent, functional programming language.",9.920907
724,"Barbecue","Video Games",16754,"Haskell features a type system with type inference and lazy evaluation.",5.9759555
725,"Vichyssoise","Music Instruments",12066,"Type classes first appeared in the Haskell programming language.",6.729027
726,"Corn chowder","Video Games",3163,"Where are my pants?",2.508584
727,"Domesticated turkey","Sports & Outdoor",7065,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",2.4616559
728,"Mozzarella Sticks","Beauty & Personal",19837,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",8.102993
729,"Breaded shrimp","Home & Garden",17085,"Ports are created with the built-in function open_port.",4.4266334
730,"Garden salad","Health & Hygine",5886,"I don't even care.",2.640674
731,"Caviar","Health & Hygine",12302,"Tuples are containers for a fixed number of Erlang data types.",7.163103
732,"Fried chicken","Video Games",15596,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.731231
733,"Chicken Manchurian","Beauty & Personal",10231,"Where are my pants?",5.7160177
734,"Sweet Potato Fries","Electronics",18802,"Make me a sandwich.",3.7226436
735,"Ice Cream","Office Supply",6033,"I don't even care.",7.6857767
736,"Jell-O","Fashion",2984,"Do you come here often?",5.0887074
737,"Turducken","Office Supply",5343,"Ports are used to communicate with the external world.",6.301573
738,"Gazpacho","Health & Hygine",2239,"She spent her earliest years reading classic literature, and writing poetry.",6.114999
739,"Funnel Cake","Books",17005,"Type classes first appeared in the Haskell programming language.",3.7443054
740,"Potatoes O'Brien","Home & Garden",17261,"Haskell features a type system with type inference and lazy evaluation.",5.8105154
741,"Cinnamon Roll","Health & Hygine",15672,"Ports are used to communicate with the external world.",4.154681
742,"London broil","Fashion",8123,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",5.996181
743,"Potato salad","Office Supply",14370,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",3.414562
744,"Stuffed ham","Electronics",18984,"Tuples are containers for a fixed number of Erlang data types.",9.977358
745,"Seafood cocktail","Video Games",3033,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",7.0966773
746,"Russian dressing","Health & Hygine",1627,"Erlang is a general-purpose, concurrent, functional programming language.",5.6210465
747,"Macaroni salad","Electronics",11266,"In 1989 the building was heavily damaged by fire, but it has since been restored.",5.556257
748,"Corn chowder","Office Supply",13104,"Erlang is a general-purpose, concurrent, functional programming language.",2.4244108
749,"Chicken nugget","Office Supply",15955,"Any element of a tuple can be accessed in constant time.",6.449046
750,"Shrimp and Grits","Books",1791,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.347991
751,"Potatoes O'Brien","Electronics",9671,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8.314234
752,"Pulled pork","Video Games",18266,"He looked inquisitively at his keyboard and wrote another sentence.",5.784318
753,"Bread","Books",14453,"Ports are used to communicate with the external world.",7.8905153
754,"Fish Tacos","Books",16911,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",8.209384
755,"Italian Beef Sandwich","Health & Hygine",7122,"Ports are used to communicate with the external world.",2.3457484
756,"Veggie Pizza","Books",1089,"Atoms are used within a program to denote distinguished values.",6.860359
757,"Macaroni and Cheese","Video Games",18436,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",6.3966746
758,"Vegemite on Toast","Office Supply",2779,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.8719895
759,"Wasabi Peas","Health & Hygine",10476,"Its main implementation is the Glasgow Haskell Compiler.",8.04674
760,"Spring Rolls","Beauty & Personal",6606,"Its main implementation is the Glasgow Haskell Compiler.",7.823411
761,"Gyoza","Sports & Outdoor",8369,"The arguments can be primitive data types or compound data types.",4.724667
762,"Tres Leches Cake","Music Instruments",3563,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.915618
763,"Bangers and mash","Sports & Outdoor",16185,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.3628087
764,"Lasagna","Home & Garden",15876,"Haskell features a type system with type inference and lazy evaluation.",6.7070465
765,"Buffalo burger","Sports & Outdoor",10140,"Atoms are used within a program to denote distinguished values.",6.1977396
766,"Fajitas","Fashion",2963,"Its main implementation is the Glasgow Haskell Compiler.",3.827671
767,"Carolina style","Music Instruments",3112,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",6.7096014
768,"Crepes","Books",18419,"Do you come here often?",2.7405097
769,"Breaded shrimp","Music Instruments",13488,"Its main implementation is the Glasgow Haskell Compiler.",3.1215847
770,"Pickled cucumber","Home & Garden",2680,"Erlang is a general-purpose, concurrent, functional programming language.",9.158366
771,"Samosa","Fashion",11087,"Erlang is known for its designs that are well suited for systems.",3.4510891
772,"Deviled crab","Books",14393,"She spent her earliest years reading classic literature, and writing poetry.",9.35449
773,"Seafood cocktail","Video Games",18014,"Atoms are used within a program to denote distinguished values.",8.739301
774,"Cheesy Garlic Bread","Books",3355,"Erlang is known for its designs that are well suited for systems.",6.2677336
775,"Celery Victor","Books",9432,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.0809517
776,"Bulgogi","Health & Hygine",13406,"Any element of a tuple can be accessed in constant time.",8.547555
777,"Shrimp Creole","Beauty & Personal",18485,"Erlang is known for its designs that are well suited for systems.",4.1178794
778,"Veggie Pizza","Fashion",12128,"Make me a sandwich.",9.2531395
779,"Russian tea cake","Sports & Outdoor",11834,"He looked inquisitively at his keyboard and wrote another sentence.",6.923355
780,"Chinese food","Office Supply",2327,"Ports are created with the built-in function open_port.",5.571913
